Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Adams County,4LEAF LOUNGE & GAMING LLC,190703535,6,355838.83,318061.51,37777.32,107091,69313.68,37777.32,13222.08,11277.66,1944.42
Adams County,"BLUEHAVEN ENTERPRISES, LLC ",170702474,3,25140.91,23038.34,2102.57,9906,7803.43,2102.57,735.95,627.72,108.23
Adams County,"DOWN ON THE CORNER, LTD.",130704834,6,92136.58,82069.74,10066.84,30943,20876.5,10066.5,3523.34,3005.2,518.14
Adams County,GRM SILVER DOLLAR LLC,210703126,6,130504.38,116701.46,13802.92,52011,38208.08,13802.92,4831.14,4120.68,710.46
Adams County,"GROVE INN, INC",120707190,6,190794.91,172728.85,18066.06,59151,41084.94,18066.06,6323.16,5393.29,929.87
Adams County,"JAY & NANCY'S TAVERN, INC.",120700767,6,324852.5,293269.74,31582.76,109585,78002.21,31582.79,11054.02,9428.43,1625.59
Adams County,"JEC Entertainment, LLC",180702588,6,35332.64,32509.31,2823.33,14140,11316.67,2823.33,988.2,842.88,145.32
Adams County,Quincy Cedar Crest Country Club,150700113,6,117215.49,105023.17,12192.32,31951,19758.72,12192.28,4267.35,3639.8,627.55
Adams County,"QUINCY LAND DEVELOPERS, L.L.C.",190704012,6,484807.55,440049.7,44757.85,139849,95091.15,44757.85,15665.27,13361.56,2303.71
Adams County,Red Dog Saloon 3 LLC,230700309,3,23464.48,22213.16,1251.32,13298,12046.76,1251.24,437.94,373.53,64.41
Adams County,SPRING LAKE ASSOCIATION,140703974,2,7266.94,6859.08,407.86,2301,1892.74,408.26,142.88,121.87,21.01
Adams County,TWIN OAKS CLUB,130705620,4,222728.9,202909.21,19819.69,54736,34915.51,19820.49,6937.25,5917.07,1020.18
Altamont,"Bella's Enterprises, LLC",180703961,6,88826.17,77262.99,11563.18,23388,11824.82,11563.18,4047.14,3451.97,595.17
Altamont,"Fred and Scottmo Enterprises, LLC",170702964,5,69466.27,61463.15,8003.12,22743,14739.88,8003.12,2801.06,2389.14,411.92
Altamont,"MJC Altamont, Inc.",130704401,4,141362.22,138270.54,3091.68,40386,37294.52,3091.48,1082.06,922.93,159.13
Altamont,"Ramsey Enterprises, LLC",160701987,3,22510.59,20866.83,1643.76,6764,5120.37,1643.63,575.29,490.69,84.6
Altamont,VFW Post 7676 Gieseking-Schwerdtfeger,120902193,5,112742.66,104619.39,8123.27,29489,21365.73,8123.27,2843.14,2425.03,418.11
Altamont,Whistle Stop Saloon LLC,160701144,6,227060.94,203561.88,23499.06,63822,40322.82,23499.18,8224.79,7015.26,1209.53
Altamont,Wortman Holdings LLC,201001805,10,1035229.37,968667.39,66561.98,324982,258419.48,66562.52,23296.84,19870.84,3426
